date,open,high,low,close,volume,amount
2026-02-13,24.26,24.58,24.1,24.38,173498,423323887
2026-02-24,25.3,25.3,24.21,24.28,315449,771799660
2026-02-25,24.3,24.46,23.97,24.22,200722,484790441
2026-02-26,24.18,24.18,23.86,23.99,158041,379501251
2026-02-27,23.99,23.99,23.68,23.75,155321,369287648
2026-03-02,23.28,23.35,22.73,22.78,239336,549404775
2026-03-03,22.89,23.13,21.72,21.74,224273,500277741
2026-03-04,21.55,21.9,21.4,21.55,156437,338779937
2026-03-05,22.26,22.3,21.82,21.99,151981,334510398
2026-03-06,21.86,22.4,21.76,22.23,129558,287994564
2026-03-09,21.9,22,21.25,21.88,192218,414819021
2026-03-10,22.1,22.41,22.08,22.34,149816,333583039
2026-03-11,22.37,22.75,22.35,22.35,150306,338109908
2026-03-12,22.33,22.39,21.87,22.01,120152,265256304
2026-03-13,21.75,21.96,21.36,21.94,182649,396277214
2026-03-16,21.73,21.94,21.5,21.94,136037,295565930
2026-03-17,22.05,22.24,21.8,21.82,145483,320711175
2026-03-18,21.82,21.97,21.45,21.71,100120,216719981
2026-03-19,21.4,21.44,20.91,21,120703,255375790
2026-03-20,20.99,21.2,20.41,20.42,117466,243651306
2026-03-23,20.2,20.66,19.62,19.78,168760,340609860
2026-03-24,20.15,20.2,19.46,20.01,122691,242459377
2026-03-25,20.01,20.33,20.01,20.28,112334,226961919
2026-03-26,20.3,20.48,19.98,20.09,102023,206342303
2026-03-27,19.78,20.28,19.7,20.13,85973,172535314
2026-03-30,19.88,20.25,19.78,20.13,78595,157288486
2026-03-31,20.19,20.43,20,20.03,97100,196417691
2026-04-01,20.31,20.36,20.11,20.25,82257,166324690
2026-04-02,20.19,20.21,19.7,19.78,92905,185170147
2026-04-03,19.84,19.98,19.48,19.49,71455,140558913
2026-04-07,19.54,19.6,19.21,19.41,69680,135166556
2026-04-08,19.91,20.5,19.88,20.5,167378,338660372
2026-04-09,20.27,20.28,20.01,20.04,93130,187318659
2026-04-10,20.28,20.72,20.23,20.47,122892,252111775
2026-04-13,20.35,20.75,20.28,20.63,107097,220595954
2026-04-14,20.77,20.93,20.69,20.91,104135,216777735
2026-04-15,21.12,21.16,20.69,20.72,98158,205460823
2026-04-16,20.81,21.02,20.81,20.97,97517,204267596
2026-04-17,21,21.42,20.81,21.37,150475,319268242
2026-04-20,21.37,21.58,21.25,21.43,123882,265814492
2026-04-21,21.35,21.41,20.97,21.18,109961,232301079
2026-04-22,21.04,21.24,20.99,21.18,88920,188103999
2026-04-23,21.25,21.35,20.8,20.87,100936,211832024
2026-04-24,20.76,20.95,20.43,20.62,90304,186249277
2026-04-27,20.6,21.17,20.54,20.95,96026,201223601
2026-04-28,20.91,20.92,20.25,20.38,99554,204296837
2026-04-29,20.34,20.84,20.27,20.8,101437,209388785
2026-04-30,21.51,22.09,21.51,21.87,331035,722574650
2026-05-06,22.31,23.3,22.28,22.83,379966,869547617
2026-05-07,23.11,23.47,22.76,23.46,294079,685348792
2026-05-08,23.25,24.51,23.12,24.08,449539,1080288696
2026-05-11,24.09,24.41,23.62,24.23,412443,991965311
2026-05-12,24.19,24.74,24.03,24.57,352522,863482512
2026-05-13,24.43,24.51,24.02,24.2,300117,725891674
2026-05-14,24.18,24.45,23.72,23.74,286303,687998287
2026-05-15,23.67,26.11,23.67,25.43,881468,2236411142
2026-05-18,25.43,26.56,25.15,26.07,742760,1936535654
2026-05-19,26,26.96,25.8,26.86,599551,1594763181
2026-05-20,26.6,26.79,26,26.1,492776,1292486450
2026-05-21,26.39,28.71,26.16,28.7,1117283,3142669730
2026-05-22,28.35,29.33,27.5,29.07,1216899,3478161839
2026-05-25,28.86,30.5,28.15,28.61,1023029,2966023449
2026-05-26,28.61,30.45,28.46,30.03,1197984,3521660054
2026-05-27,28.9,30.18,28.25,28.43,940358,2723162342
2026-05-28,28.2,28.71,27.32,28.32,844706,2365162533
2026-05-29,28.32,29.87,27.54,27.72,676894,1927100849
2026-06-01,27.55,27.88,26.75,26.77,540280,1470221604
2026-06-02,27.26,28.17,26.92,26.96,476597,1305929680
2026-06-03,26.98,29.66,26.54,29.04,1073894,3098319273
2026-06-04,28.5,30.77,28.38,29.49,915894,2723019634
2026-06-05,29.47,32,28.11,31.02,960223,2896509134
2026-06-08,30.4,34.12,30.36,34.12,1128946,3679820423
